ds,y
2/3/2017,
2/4/2017,
2/5/2017,
2/6/2017,
2/7/2017,
2/8/2017,
2/9/2017,
2/10/2017,0
2/11/2017,0
2/12/2017,
2/13/2017,0
2/14/2017,0
2/15/2017,7
2/16/2017,23
2/17/2017,87
2/18/2017,28
2/19/2017,41
2/20/2017,122
2/21/2017,110
2/22/2017,89
2/23/2017,102
2/24/2017,123
2/25/2017,111
2/26/2017,47
2/27/2017,115
2/28/2017,91
3/1/2017,89
3/2/2017,95
3/3/2017,76
3/4/2017,154
3/5/2017,
3/6/2017,
3/7/2017,
3/8/2017,
3/9/2017,
3/10/2017,71
3/11/2017,62
3/12/2017,53
3/13/2017,65
3/14/2017,141
3/15/2017,151
3/16/2017,62
3/17/2017,91
3/18/2017,12
3/19/2017,10
3/20/2017,75
3/21/2017,103
3/22/2017,55
3/23/2017,43
3/24/2017,85
3/25/2017,12
3/26/2017,27
3/27/2017,85
3/28/2017,90
3/29/2017,51
3/30/2017,
3/31/2017,
4/1/2017,
4/2/2017,
4/3/2017,
4/4/2017,
4/5/2017,
4/6/2017,
4/7/2017,
4/8/2017,
4/9/2017,
4/10/2017,
4/11/2017,
4/12/2017,
4/13/2017,
4/14/2017,
4/15/2017,
4/16/2017,
4/17/2017,
4/18/2017,
4/19/2017,35
4/20/2017,619
4/21/2017,0
4/22/2017,
4/23/2017,598
4/24/2017,100
4/25/2017,110
4/26/2017,71
4/27/2017,80
